runtime,n_agents,p50_ns,p99_ns,max_ns,rss_kb
lua54,500,37300,60750,71250,2632
lua54,1000,72680,93201,159410,2708
lua54,5000,360450,579670,623760,3920
lua54,10000,715080,1180420,2142921,5404
lua54,25000,1783741,2661392,2931892,9616
lua54,50000,3599443,4129482,5473604,16776
lua54,100000,7183385,8113255,9982657,31044
luajit,500,2430,4890,11080,2940
luajit,1000,4600,8660,17140,3064
luajit,5000,25150,37280,109931,4224
luajit,10000,48070,81090,171040,5616
luajit,25000,118600,194740,494520,9700
luajit,50000,239440,307581,752691,16624
luajit,100000,607900,1061050,1481641,30372
quickjs,500,69150,86970,138350,3368
quickjs,1000,134650,157910,257880,3472
quickjs,5000,675710,721891,1062761,4280
quickjs,10000,1372101,1445841,1475041,5312
quickjs,25000,3453193,3635532,4520963,8440
quickjs,50000,6753194,7206994,7600835,13432
quickjs,100000,13613369,14363119,18327752,23552
v8,500,1630,3810,81320,23828
v8,1000,3400,6320,47740,23388
v8,5000,14590,26380,58880,25328
v8,10000,29720,51890,92680,26780
v8,25000,72280,91140,147750,29172
v8,50000,150591,188240,256661,35044
v8,100000,305080,350500,525760,47156
