runtime,workload,variant,iters,total_ns,min_ns,p50_ns,p95_ns,p99_ns,max_ns,rss_kb,notes
v8,call_overhead,handwritten,1000000,80105883,80,80,80,80,80,20692,
v8,call_overhead,tsc,1000000,79791333,79,79,79,79,79,20880,
v8,ai_tick,handwritten,1200,18754853,13970,15230,20090,24550,49570,25532,
v8,ai_tick,tsc,1200,18619342,13600,14420,21540,24890,53070,25604,
v8,gc_pause,handwritten,1200,0,1050,1090,18380,46650,2571611,25120,
v8,gc_pause,tsc,1200,0,1950,2070,18000,39220,3228592,24684,
v8,math_loop,handwritten,100,170633814,1706338,1706338,1706338,1706338,1706338,23232,
v8,math_loop,tsc,100,169288863,1692888,1692888,1692888,1692888,1692888,23800,
v8,vm_startup,n/a,1000,0,589021,604800,658801,782071,1235121,12476,
v8,cache_eviction,handwritten,500,0,557030,564821,575620,582970,952660,17772,phase=baseline
v8,cache_eviction,handwritten,500,0,556900,561471,568010,577380,587481,28608,phase=vm_pressure delta_p50_ns=-3350
v8,tick_budget,handwritten,1200,0,14560,15020,15650,19030,29880,25432,p=0 over60=0 over20=0
v8,tick_budget,handwritten,1200,0,14700,15250,15960,21990,39470,25848,p=200 over60=0 over20=0
v8,tick_budget,handwritten,1200,0,17790,18480,27620,78850,133000,28024,p=2000 over60=0 over20=0
v8,tick_budget,handwritten,1200,0,33270,36960,215921,715430,1119941,89924,p=20000 over60=0 over20=0
v8,tick_budget,handwritten,1200,0,110420,136311,3591233,5585244,6615235,141820,p=100000 over60=0 over20=0
